conditon,Total tree length (micrometer),Total tree length (mm),area of convex hull micrometer^2,area of convex hull in mm^2
1month,64974.17321,64.97417321,24468315.97,24.46831597
1month,86462.56817,86.46256817,23304687.5,23.3046875
1month,90373.47298,90.37347298,39474320.99,39.47432099
1month,49978.28969,49.97828969,11763703.7,11.7637037
1.5month,337177.993,337.177993,120311151.3,120.3111513
1.5month,222056.8693,222.0568693,97854274.69,97.85427469
1.5month,354283.9535,354.2839535,190246600,190.2466
1.5month,240855.2468,240.8552468,112460590.3,112.4605903
2month,394062.5517,394.0625517,186680077.4,186.6800774
2month,392398.0856,392.3980856,150855195.5,150.8551955
2month,398696.9276,398.6969276,277918338.5,277.9183385
2month,408158.3757,408.1583757,286188057.3,286.1880573
